name,slug,category,subCategory,categoryNameZh,categoryNameEn,subCategoryNameZh,subCategoryNameEn,license,homepage,repo,status,totalScore,scorePercent
"CSGHub","csghub","inference-serving","llm-routing-gateways","推理与运行时","Inference & Runtime","路由与网关","LLM Routing & Gateways","Unknown","https://opencsg.com","https://github.com/opencsgs/csghub","tracked","",""
"CUA","cua","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://trycua.com","https://github.com/trycua/cua","tracked","",""
"cuDF","cudf","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","https://docs.rapids.ai/api/cudf/stable/","https://github.com/rapidsai/cudf","tracked","",""
"CUGA","cuga-agent","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://cuga.dev","https://github.com/cuga-project/cuga-agent","tracked","",""
"CUTLASS","cutlass","inference-serving","gpu-acceleration","推理与运行时","Inference & Runtime","GPU 加速","GPU Acceleration","Unknown","","https://github.com/nvidia/cutlass","tracked","",""
"CVAT","cvat","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","https://cvat.ai","https://github.com/cvat-ai/cvat","tracked","",""
"Dagger","dagger","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","https://dagger.io/","https://github.com/dagger/dagger","tracked","",""
"Dagster","dagster","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Unknown","https://dagster.io/","https://github.com/dagster-io/dagster","tracked","",""
"Dask","dask","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://dask.org","https://github.com/dask/dask","tracked","",""
"Data Prep Kit","data-prep-kit","models-modalities","foundation-models","模型与多模态","Models & Modalities","基础模型","Foundation Models","Unknown","https://data-prep-kit.github.io/data-prep-kit/","https://github.com/data-prep-kit/data-prep-kit","tracked","",""
"Datachain","datachain","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","https://docs.datachain.ai","https://github.com/iterative/datachain","tracked","",""
"DataFlow","dataflow","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","https://opendcai.github.io/DataFlow-Doc/","https://github.com/opendcai/dataflow","tracked","",""
"DataTrove","datatrove","rag-knowledge","data-connectors","知识与上下文工程","Knowledge & Context","数据连接器","Data Connectors","Unknown","","https://github.com/huggingface/datatrove","tracked","",""
"Daytona","daytona","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","https://www.daytona.io/docs","https://github.com/daytonaio/daytona","tracked","",""
"DB-GPT","db-gpt","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","","https://github.com/eosphoros-ai/db-gpt","tracked","",""
"Deep Agents","deepagents","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://docs.langchain.com/oss/python/deepagents/overview","https://github.com/langchain-ai/deepagents","tracked","",""
"Deep Chat","deep-chat","applications-products","chat-interfaces","应用与体验","Applications & Experience","聊天与交互界面","Chat Interfaces","Unknown","https://deepchat.dev/","https://github.com/ovidijusparsiunas/deep-chat","tracked","",""
"Deep Lake","deeplake","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","https://docs.deeplake.ai/","https://github.com/activeloopai/deeplake","tracked","",""
"Deep-Live-Cam","deep-live-cam","models-modalities","image-video-generation","模型与多模态","Models & Modalities","图像与视频生成","Image & Video Generation","Unknown","https://deeplivecam.net/","https://github.com/hacksider/deep-live-cam","tracked","",""
"DeepAnalyze","deepanalyze","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Unknown","https://ruc-deepanalyze.github.io/","https://github.com/ruc-datalab/deepanalyze","tracked","",""
"DeepChat","deepchat","applications-products","chat-interfaces","应用与体验","Applications & Experience","聊天与交互界面","Chat Interfaces","Unknown","https://deepchat.thinkinai.xyz/","https://github.com/thinkinaixyz/deepchat","tracked","",""
"DeepCode","deepcode","agents","agent-orchestration","智能体系统","Agent Systems","编排与工作流","Orchestration & Workflows","Unknown","https://pypi.org/project/deepcode-hku/","https://github.com/hkuds/deepcode","tracked","",""
"DeepEP","deepep","coding-devtools","sdk-frameworks","开发者工具链","Developer Tooling","SDK 与框架","SDK Frameworks","Unknown","","https://github.com/deepseek-ai/deepep","tracked","",""
"DeepEval","deepeval","training-optimization","evaluation-benchmarks","训练、评测与优化","Training, Evaluation & Optimization","评测与基准","Evaluation & Benchmarks","Unknown","","https://github.com/confident-ai/deepeval","tracked","",""
"DeepGEMM","deepgemm","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","","https://github.com/deepseek-ai/deepgemm","tracked","",""
"Deepnote","deepnote","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Unknown","https://deepnote.com","https://github.com/deepnote/deepnote","tracked","",""
"DeepSeek-Reasonix","deepseek-reasonix","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","MIT","https://esengine.github.io/DeepSeek-Reasonix/","https://github.com/esengine/DeepSeek-Reasonix","tracked","",""
"DeepSpeed","deepspeed","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","https://www.deepspeed.ai/","https://github.com/deepspeedai/deepspeed","tracked","",""
"DeepTeam","deepteam","training-optimization","evaluation-benchmarks","训练、评测与优化","Training, Evaluation & Optimization","评测与基准","Evaluation & Benchmarks","Unknown","https://trydeepteam.com","https://github.com/confident-ai/deepteam","tracked","",""
"DeepTutor","deeptutor","rag-knowledge","knowledge-graphs","知识与上下文工程","Knowledge & Context","知识图谱","Knowledge Graphs","Unknown","https://hkuds.github.io/DeepTutor","https://github.com/hkuds/deeptutor","tracked","",""
"DeerFlow","deer-flow","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","","https://github.com/bytedance/deer-flow","tracked","",""
"Dembrandt","dembrandt","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","","https://github.com/thevangelist/dembrandt","tracked","",""
"Detectron2","detectron2","rag-knowledge","agent-memory-context","知识与上下文工程","Knowledge & Context","记忆与上下文","Memory & Context","Unknown","https://detectron2.readthedocs.io/","https://github.com/facebookresearch/detectron2","tracked","",""
"Dexter","dexter","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","","https://github.com/virattt/dexter","tracked","",""
"Dify","dify","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://dify.ai/","https://github.com/langgenius/dify","tracked","",""
"Dingo","dingo","training-optimization","evaluation-benchmarks","训练、评测与优化","Training, Evaluation & Optimization","评测与基准","Evaluation & Benchmarks","Unknown","https://huggingface.co/spaces/DataEval/dingo","https://github.com/dataeval/dingo","tracked","",""
"DLRover","dlrover","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://pypi.org/project/dlrover/","https://github.com/intelligent-machine-learning/dlrover","tracked","",""
"Docling","docling","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","https://docling-project.github.io/docling/","https://github.com/docling-project/docling","tracked","",""
"DocsGPT","docs-gpt","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://app.docsgpt.cloud/","https://github.com/arc53/docsgpt","tracked","",""
"DocuTranslate","docutranslate","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","https://pypi.org/project/docutranslate/","https://github.com/xunbu/docutranslate","tracked","",""
"DroidRun","droidrun","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","https://droidrun.ai","https://github.com/droidrun/droidrun","tracked","",""
"DSPy","dspy","rag-knowledge","data-connectors","知识与上下文工程","Knowledge & Context","数据连接器","Data Connectors","Unknown","https://dspy.ai/","https://github.com/stanfordnlp/dspy","tracked","",""
"DuckDB","duckdb","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","http://www.duckdb.org","https://github.com/duckdb/duckdb","tracked","",""
"Dyad","dyad","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","https://dyad.sh","https://github.com/dyad-sh/dyad","tracked","",""
"Dynamo","dynamo","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://docs.nvidia.com/dynamo/latest","https://github.com/ai-dynamo/dynamo","tracked","",""
"E2B","e2b","inference-serving","sandboxes-runtimes","推理与运行时","Inference & Runtime","沙箱与执行运行时","Sandboxes & Execution","Unknown","https://e2b.dev/docs","https://github.com/e2b-dev/e2b","tracked","",""
"EasyEdit","easyedit","training-optimization","evaluation-benchmarks","训练、评测与优化","Training, Evaluation & Optimization","评测与基准","Evaluation & Benchmarks","Unknown","https://zjunlp.github.io/project/KnowEdit","https://github.com/zjunlp/easyedit","tracked","",""
"EasyR1","easy-r1","training-optimization","training-frameworks","训练、评测与优化","Training, Evaluation & Optimization","训练框架","Training Frameworks","Unknown","https://verl.readthedocs.io/en/latest/index.html","https://github.com/hiyouga/easyr1","tracked","",""
"Eigent","eigent","agents","agent-orchestration","智能体系统","Agent Systems","编排与工作流","Orchestration & Workflows","Unknown","https://www.eigent.ai","https://github.com/eigent-ai/eigent","tracked","",""
"Eino","eino","models-modalities","foundation-models","模型与多模态","Models & Modalities","基础模型","Foundation Models","Unknown","https://www.cloudwego.io/docs/eino/","https://github.com/cloudwego/eino","tracked","",""
"ElevenLabs UI","elevenlabs-ui","models-modalities","multimodal","模型与多模态","Models & Modalities","多模态","Multimodal","Unknown","https://ui.elevenlabs.io","https://github.com/elevenlabs/ui","tracked","",""
"ElizaOS","eliza","agents","agent-orchestration","智能体系统","Agent Systems","编排与工作流","Orchestration & Workflows","Unknown","https://eliza.how/","https://github.com/elizaos/eliza","tracked","",""
"Embedding Atlas","embedding-atlas","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","","https://github.com/apple/embedding-atlas","tracked","",""
"Envoy AI Gateway","envoy-ai-gateway","inference-serving","llm-routing-gateways","推理与运行时","Inference & Runtime","路由与网关","LLM Routing & Gateways","Unknown","https://aigateway.envoyproxy.io/","https://github.com/envoyproxy/ai-gateway","tracked","",""
"Everywhere","everywhere","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://everywhere.sylinko.com","https://github.com/dearva/everywhere","tracked","",""
"Evidently","evidently","training-optimization","evaluation-benchmarks","训练、评测与优化","Training, Evaluation & Optimization","评测与基准","Evaluation & Benchmarks","Unknown","","https://github.com/evidentlyai/evidently","tracked","",""
"exo","exo","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","https://exolabs.net","https://github.com/exo-explore/exo","tracked","",""
"Faiss","faiss","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","https://faiss.ai/","https://github.com/facebookresearch/faiss","tracked","",""
"fast-agent","fast-agent","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","https://fast-agent.ai/","https://github.com/evalstate/fast-agent","tracked","",""
"FastGPT","fastgpt","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://fastgpt.io/","https://github.com/labring/fastgpt","tracked","",""
"FastMCP","fastmcp","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","https://gofastmcp.com/","https://github.com/jlowin/fastmcp","tracked","",""
"FinGPT","fingpt","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://ai4finance.org","https://github.com/ai4finance-foundation/fingpt","tracked","",""
"FinRobot","finrobot","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://ai4finance.org","https://github.com/ai4finance-foundation/finrobot","tracked","",""
"Firecrawl","firecrawl","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://firecrawl.dev","https://github.com/firecrawl/firecrawl","tracked","",""
"Flash Attention","flash-attention","rag-knowledge","agent-memory-context","知识与上下文工程","Knowledge & Context","记忆与上下文","Memory & Context","Unknown","","https://github.com/dao-ailab/flash-attention","tracked","",""
"Flash Linear Attention (fla)","flash-linear-attention","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","https://pypi.org/project/flash-linear-attention/","https://github.com/fla-org/flash-linear-attention","tracked","",""
"FlashInfer","flashinfer","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","https://flashinfer.ai","https://github.com/flashinfer-ai/flashinfer","tracked","",""
"FlashMLA","flashmla","rag-knowledge","agent-memory-context","知识与上下文工程","Knowledge & Context","记忆与上下文","Memory & Context","Unknown","","https://github.com/deepseek-ai/flashmla","tracked","",""
"Flowise","flowise","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","","https://github.com/flowiseai/flowise","tracked","",""
"Flox","flox","inference-serving","sandboxes-runtimes","推理与运行时","Inference & Runtime","沙箱与执行运行时","Sandboxes & Execution","Unknown","https://flox.dev","https://github.com/flox/flox","tracked","",""
"Flyte","flyte","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","https://flyte.org/","https://github.com/flyteorg/flyte","tracked","",""
"Framelink Figma MCP Server","figma-context-mcp","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","","https://github.com/glips/figma-context-mcp","tracked","",""
"Free LLM API resources","free-llm-api-resources","models-modalities","foundation-models","模型与多模态","Models & Modalities","基础模型","Foundation Models","Unknown","","https://github.com/cheahjs/free-llm-api-resources","tracked","",""
"fuck-u-code","fuck-u-code","training-optimization","evaluation-benchmarks","训练、评测与优化","Training, Evaluation & Optimization","评测与基准","Evaluation & Benchmarks","Unknown","","https://github.com/done-0/fuck-u-code","tracked","",""
"Gateway API Inference Extension","gateway-api-inference-extension","inference-serving","llm-routing-gateways","推理与运行时","Inference & Runtime","路由与网关","LLM Routing & Gateways","Unknown","https://gateway-api-inference-extension.sigs.k8s.io/","https://github.com/kubernetes-sigs/gateway-api-inference-extension","tracked","",""
"Gemini CLI","gemini-cli","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","","https://github.com/google-gemini/gemini-cli","tracked","",""
"GenAI Agents","genai-agents","models-modalities","foundation-models","模型与多模态","Models & Modalities","基础模型","Foundation Models","Unknown","","https://github.com/nirdiamant/genai_agents","tracked","",""
"GenAI Toolbox for Databases","genai-toolbox-databases","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","","https://github.com/googleapis/genai-toolbox","tracked","",""
"Generative AI on Google Cloud","google-generative-ai","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://cloud.google.com/vertex-ai/docs/generative-ai/learn/overview","https://github.com/googlecloudplatform/generative-ai","tracked","",""
"Genesis","genesis","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","https://genesis-embodied-ai.github.io/","https://github.com/genesis-embodied-ai/genesis","tracked","",""
"Genkit","genkit","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://genkit.dev/","https://github.com/firebase/genkit","tracked","",""
"GenMedia Creative Studio","vertex-ai-creative-studio","models-modalities","audio-speech","模型与多模态","Models & Modalities","语音与音频","Audio & Speech","Unknown","https://cloud.google.com/vertex-ai","https://github.com/googlecloudplatform/vertex-ai-creative-studio","tracked","",""
"ggml","ggml","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","https://huggingface.co/blog/introduction-to-ggml","https://github.com/ggml-org/ggml","tracked","",""
"Giskard OSS","giskard-oss","training-optimization","evaluation-benchmarks","训练、评测与优化","Training, Evaluation & Optimization","评测与基准","Evaluation & Benchmarks","Unknown","https://docs.giskard.ai/en/stable/getting_started/index.html","https://github.com/giskard-ai/giskard-oss","tracked","",""
"GitHub Copilot CLI","copilot-cli","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","","https://github.com/github/copilot-cli","tracked","",""
"GitHub MCP Server","github-mcp-server","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","","https://github.com/github/github-mcp-server","tracked","",""
"GitNexus","gitnexus","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","https://gitnexus.vercel.app","https://github.com/abhigyanpatwari/gitnexus","tracked","",""
"Golem","golem","inference-serving","model-serving","推理与运行时","Inference & Runtime","模型服务","Model Serving","Unknown","https://learn.golem.cloud/","https://github.com/golemcloud/golem","tracked","",""
"Google Research","google-research","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://research.google/","https://github.com/google-research/google-research","tracked","",""
"goose","goose","applications-products","workflow-automation","应用与体验","Applications & Experience","工作流自动化","Workflow Automation","Unknown","https://block.github.io/goose/","https://github.com/block/goose","tracked","",""
"GPT Researcher","gpt-researcher","agents","agent-orchestration","智能体系统","Agent Systems","编排与工作流","Orchestration & Workflows","Unknown","https://gptr.dev/","https://github.com/assafelovic/gpt-researcher","tracked","",""
"gpt-oss","gpt-oss","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","https://openai.com/open-models","https://github.com/openai/gpt-oss","tracked","",""
"GPT-SoVITS","gpt-sovits","models-modalities","audio-speech","模型与多模态","Models & Modalities","语音与音频","Audio & Speech","Unknown","https://rentry.co/GPT-SoVITS-guide#/","https://github.com/rvc-boss/gpt-sovits","tracked","",""
"gpustack","gpustack","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://gpustack.ai","https://github.com/gpustack/gpustack","tracked","",""
"Gradio","gradio","applications-products","chat-interfaces","应用与体验","Applications & Experience","聊天与交互界面","Chat Interfaces","Unknown","https://gradio.app/","https://github.com/gradio-app/gradio","tracked","",""
"Graphiti","graphiti","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","","https://github.com/getzep/graphiti","tracked","",""
"GraphRAG","graphrag","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","","https://github.com/microsoft/graphrag","tracked","",""
"Gravitino","gravitino","rag-knowledge","data-connectors","知识与上下文工程","Knowledge & Context","数据连接器","Data Connectors","Unknown","https://gravitino.apache.org","https://github.com/apache/gravitino","tracked","",""
"gtr — Git Worktree Runner","git-worktree-runner","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","https://www.coderabbit.ai/","https://github.com/coderabbitai/git-worktree-runner","tracked","",""
"GuideLLM","guidellm","models-modalities","foundation-models","模型与多模态","Models & Modalities","基础模型","Foundation Models","Unknown","","https://github.com/vllm-project/guidellm","tracked","",""
"Gymnasium","gymnasium","training-optimization","training-frameworks","训练、评测与优化","Training, Evaluation & Optimization","训练框架","Training Frameworks","Unknown","https://gymnasium.farama.org","https://github.com/farama-foundation/gymnasium","tracked","",""
"HAMi","hami","inference-serving","model-serving","推理与运行时","Inference & Runtime","模型服务","Model Serving","Unknown","https://project-hami.io","https://github.com/project-hami/hami","tracked","",""
"Handy","handy","models-modalities","audio-speech","模型与多模态","Models & Modalities","语音与音频","Audio & Speech","Unknown","https://handy.computer/","https://github.com/cjpais/handy","tracked","",""
"Hashbrown","hashbrown","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://www.hashbrown.dev","https://github.com/liveloveapp/hashbrown","tracked","",""
"Haystack","haystack","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","","https://github.com/deepset-ai/haystack","tracked","",""
"Helicone","helicone","training-optimization","observability-monitoring","训练、评测与优化","Training, Evaluation & Optimization","可观测性与监控","Observability & Monitoring","Unknown","","https://github.com/helicone/helicone","tracked","",""
"HELM","helm","training-optimization","evaluation-benchmarks","训练、评测与优化","Training, Evaluation & Optimization","评测与基准","Evaluation & Benchmarks","Unknown","https://crfm.stanford.edu/helm/","https://github.com/stanford-crfm/helm","tracked","",""
"Heretic","heretic","training-optimization","finetuning-alignment","训练、评测与优化","Training, Evaluation & Optimization","微调与对齐","Finetuning & Alignment","Unknown","","https://github.com/p-e-w/heretic","tracked","",""
"Hermes Agent","hermes-agent","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","https://hermes-agent.nousresearch.com/docs","https://github.com/nousresearch/hermes-agent","tracked","",""
"HiClaw","hiclaw","agents","agent-orchestration","智能体系统","Agent Systems","编排与工作流","Orchestration & Workflows","Unknown","","https://github.com/higress-group/hiclaw","tracked","",""
"Higress","higress","inference-serving","llm-routing-gateways","推理与运行时","Inference & Runtime","路由与网关","LLM Routing & Gateways","Unknown","https://higress.ai/en/","https://github.com/alibaba/higress","tracked","",""
"HolmesGPT","holmesgpt","platform-infra","cloud-native-ai","平台与基础设施","Platform & Infrastructure","云原生 AI","Cloud Native AI","Unknown","https://holmesgpt.dev/","https://github.com/holmesgpt/holmesgpt","tracked","",""
"huggingface diffusers","huggingface-diffusers","models-modalities","image-video-generation","模型与多模态","Models & Modalities","图像与视频生成","Image & Video Generation","Unknown","https://huggingface.co/docs/diffusers","https://github.com/huggingface/diffusers","tracked","",""
"Hyprnote","hyprnote","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Unknown","https://hyprnote.com","https://github.com/fastrepl/hyprnote","tracked","",""
"Infinity","infinity","rag-knowledge","vector-databases","知识与上下文工程","Knowledge & Context","向量数据库","Vector Databases","Unknown","https://infiniflow.org","https://github.com/infiniflow/infinity","tracked","",""
"Inkeep Agents","inkeep-agents","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","https://docs.inkeep.com","https://github.com/inkeep/agents","tracked","",""
"InsForge","insforge","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Unknown","https://insforge.dev","https://github.com/insforge/insforge","tracked","",""
"Inspector","inspector","training-optimization","evaluation-benchmarks","训练、评测与优化","Training, Evaluation & Optimization","评测与基准","Evaluation & Benchmarks","Unknown","https://modelcontextprotocol.io","https://github.com/modelcontextprotocol/inspector","tracked","",""
"Instructor","instructor","coding-devtools","sdk-frameworks","开发者工具链","Developer Tooling","SDK 与框架","SDK Frameworks","Unknown","https://python.useinstructor.com/","https://github.com/567-labs/instructor","tracked","",""
"IronClaw","ironclaw","agents","agent-frameworks","智能体系统","Agent Systems","智能体框架","Agent Frameworks","Unknown","","https://github.com/nearai/ironclaw","tracked","",""
"Jan","jan","applications-products","chat-interfaces","应用与体验","Applications & Experience","聊天与交互界面","Chat Interfaces","Unknown","https://jan.ai/","https://github.com/menloresearch/jan","tracked","",""
"JAX","jax","training-optimization","training-frameworks","训练、评测与优化","Training, Evaluation & Optimization","训练框架","Training Frameworks","Unknown","https://docs.jax.dev/","https://github.com/jax-ml/jax","tracked","",""
"JeecgBoot","jeecgboot","applications-products","low-code-builders","应用与体验","Applications & Experience","低代码构建","Low-code Builders","Unknown","https://jeecgboot.github.io/JeecgBoot/","https://github.com/jeecgboot/jeecgboot","tracked","",""
"JoyAgent-JDGenie","joyagent-jdgenie","agents","agent-orchestration","智能体系统","Agent Systems","编排与工作流","Orchestration & Workflows","Unknown","","https://github.com/jd-opensource/joyagent-jdgenie","tracked","",""
"json-render","json-render","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Unknown","https://json-render.dev","https://github.com/vercel-labs/json-render","tracked","",""
"Jupyter Notebook","jupyter-notebook","platform-infra","data-platforms","平台与基础设施","Platform & Infrastructure","数据平台","Data Platforms","Unknown","https://jupyter.org","https://github.com/jupyter/notebook","tracked","",""
"k8sgpt","k8sgpt","models-modalities","foundation-models","模型与多模态","Models & Modalities","基础模型","Foundation Models","Unknown","https://k8sgpt.ai/","https://github.com/k8sgpt-ai/k8sgpt","tracked","",""
"kagent","kagent","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","https://kagent.dev/","https://github.com/kagent-dev/kagent","tracked","",""
"KAI Scheduler","kai-scheduler","inference-serving","inference-runtimes","推理与运行时","Inference & Runtime","推理运行时","Inference Runtimes","Unknown","https://github.com/NVIDIA/KAI-Scheduler","https://github.com/nvidia/kai-scheduler","tracked","",""
"Kaito","kaito","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://kaito-project.github.io/kaito/docs/","https://github.com/kaito-project/kaito","tracked","",""
"Katana","katana","coding-devtools","ide-cli-tools","开发者工具链","Developer Tooling","IDE 与 CLI 工具","IDE & CLI Tools","Unknown","https://projectdiscovery.io/open-source","https://github.com/projectdiscovery/katana","tracked","",""
"Keploy","keploy","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://keploy.io/","https://github.com/keploy/keploy","tracked","",""
"Keras","keras","models-modalities","foundation-models","模型与多模态","Models & Modalities","基础模型","Foundation Models","Unknown","https://keras.io/","https://github.com/keras-team/keras","tracked","",""
"Khoj","khoj","rag-knowledge","retrieval-indexing","知识与上下文工程","Knowledge & Context","检索与索引","Retrieval & Indexing","Unknown","https://khoj.dev","https://github.com/khoj-ai/khoj","tracked","",""
"Kilo Code","kilocode","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","https://kilocode.ai/","https://github.com/kilo-org/kilocode","tracked","",""
"kimi-cli","kimi-cli","coding-devtools","coding-agents","开发者工具链","Developer Tooling","编程智能体","Coding Agents","Unknown","https://kimi.moonshot.cn/cli","https://github.com/moonshotai/kimi-cli","tracked","",""
"KitOps","kitops","platform-infra","deployment-operations","平台与基础设施","Platform & Infrastructure","部署与运维","Deployment & Operations","Unknown","https://kitops.org","https://github.com/kitops-ml/kitops","tracked","",""
"Klavis","klavis","coding-devtools","mcp-tools","开发者工具链","Developer Tooling","MCP 与工具协议","MCP & Tool Protocols","Unknown","https://www.klavis.ai/","https://github.com/klavis-ai/klavis","tracked","",""
"Knowledge Work Plugins","knowledge-work-plugins","applications-products","productivity-tools","应用与体验","Applications & Experience","效率工具","Productivity Tools","Apache-2.0","","https://github.com/anthropics/knowledge-work-plugins","tracked","",""
